time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.10803	4	3	3	13137	0.0130286
1.10803	2	1	3	9634	0.00302856
1.10903	4	4	3	24176	0.0130286
1.10903	4	3	3	9634	0.0130286
1.1096	4	4	3	6480	0.0026
1.11003	4	1	3	16115	0.00302856
1.11096	4	1	3	16115	0.00295714
1.11103	2	5	3	19709	0.00802856
1.11103	2	4	3	19709	0.00802856
1.11103	2	3	3	13137	0.00802856
1.11103	2	2	3	13137	0.00802856
1.11139	4	5	3	17080	0.00238571
1.11174	4	3	3	9634	0.00274285
1.11189	4	2	3	9634	0.00288571
1.11203	2	1	3	13137	0.00902856
1.11203	4	1	3	16115	0.00302856
1.11303	4	1	3	16115	0.00302856
1.11403	2	5	3	19709	0.00802856
1.11403	2	4	3	19709	0.00802856
1.11403	2	3	3	11387	0.00802856
1.11403	2	1	3	9634	0.00802856
1.11403	4	1	3	16115	0.00302856
1.11503	2	2	3	11387	0.00902856
1.11503	4	5	3	19709	0.00802856
1.11603	4	5	3	17080	0.00802856
1.11603	4	4	3	9634	0.00802856
1.11603	4	3	3	9634	0.00802856
1.11603	4	2	3	9634	0.00802856
1.11703	4	4	3	24176	0.00802856
1.11703	2	1	3	638	0.00302856
1.11803	2	5	3	17080	0.00802856
1.11803	2	4	3	17080	0.00802856
1.11803	4	5	3	19709	0.00802856
1.11803	4	4	3	19709	0.00802856
1.11903	4	5	3	19709	0.00802856
1.11903	4	4	3	19709	0.00802856
1.11903	4	3	3	13137	0.00802856
1.11903	4	2	3	13137	0.00802856
1.12003	2	5	3	24176	0.0130286
1.12003	2	4	3	24176	0.0130286
1.12003	2	3	3	16115	0.0130286
1.12003	4	3	3	463	0.0130286
1.12039	4	5	3	11824	0.00238571
1.1206	4	4	3	6480	0.0026
1.12074	4	3	3	463	0.00274285
1.12089	4	2	3	638	0.00288571
1.12103	2	2	3	11387	0.0140286
1.12103	2	1	3	16115	0.0140286
1.12103	4	1	3	16115	0.00302856
1.12196	4	1	3	16115	0.00295714
1.12203	2	5	3	24176	0.00802856
1.12203	2	4	3	24176	0.00802856
1.12203	2	3	3	16115	0.00802856
1.12203	2	2	3	16115	0.00802856
1.12339	4	5	3	10511	0.00238571
1.1236	4	4	3	5255	0.0026
1.12374	4	3	3	463	0.00274285
1.12389	4	2	3	1107	0.00288571
1.12403	2	3	3	14890	0.0140286
1.12403	4	1	3	16115	0.00302856
1.12439	2	5	3	6480	0.00238571
1.1246	2	4	3	6480	0.0026
1.12474	2	3	3	2567	0.00274285
1.12489	2	2	3	1107	0.00288571
1.12503	4	2	3	13137	0.0180286
1.12503	2	1	3	463	0.00302856
1.12589	2	2	3	1107	0.00288571
1.12589	4	2	3	1107	0.00288571
1.12603	2	1	3	463	0.00302856
1.12603	4	1	3	16115	0.00302856
