% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.08	1	0	1	5	108	2	0	1	3	14	1	0	24	19712
1.08	1	0	2	4	108	2	0	4	3	14	1	0	24	19712
1.08	1	0	3	3	108	2	0	7	2	13	1	0	2	641
1.08	1	0	4	2	108	2	0	9	2	12	1	0	24	13140
1.08	1	0	5	1	108	2	0	11	2	12	1	0	2	641
1.08	3	0	6	5	108	2	0	1	3	14	1	0	16	10514
1.08	3	0	7	4	108	2	0	4	3	14	1	0	28	24179
1.08	3	0	8	3	108	2	0	7	2	11	1	0	0	466
1.08	3	0	9	2	108	2	0	9	2	14	1	0	0	466
1.08	3	0	10	1	108	2	0	11	2	14	1	0	28	16118
1.081	1	0	1	5	108	3	0	1	3	15	1	0	24	19712
1.081	1	0	2	4	108	3	0	4	3	15	1	0	24	19712
1.081	1	0	3	3	108	3	0	7	2	15	1	0	24	13140
1.081	1	0	4	2	108	3	0	9	2	14	1	0	24	13140
1.081	1	0	5	1	108	3	0	11	2	11	1	0	24	13140
1.082	1	0	1	5	108	4	0	1	3	12	1	0	24	19712
1.082	1	0	2	4	108	4	0	4	3	12	1	0	24	19712
1.082	1	0	3	3	108	4	0	7	2	12	1	0	22	11390
1.082	1	0	4	2	108	4	0	9	2	13	1	0	22	11390
1.082	1	0	5	1	108	4	0	11	2	15	1	0	24	13140
1.084	1	0	1	5	108	6	0	1	3	13	1	0	14	8412
1.084	1	0	2	4	108	6	0	4	3	13	1	0	14	8412
1.084	1	0	3	3	108	6	0	7	2	14	1	0	2	641
1.084	1	0	4	2	108	6	0	9	2	11	1	0	4	1110
1.084	1	0	5	1	108	6	0	11	2	13	1	0	2	641
1.084	3	0	6	5	108	6	0	1	3	15	1	0	16	10514
1.084	3	0	7	4	108	6	0	4	3	13	1	0	12	6483
1.084	3	0	8	3	108	6	0	7	2	12	1	0	0	466
1.084	3	0	9	2	108	6	0	9	2	13	1	0	4	1110
1.084	3	0	10	1	108	6	0	11	2	15	1	0	28	16118
1.086	1	0	1	5	108	8	0	1	3	15	1	0	14	8412
