Time	CellId	RNTI	BWPId	SINR(dB)
1.50007	2	3	0	6.98066
1.50007	2	2	0	4.2364
1.50007	2	1	0	-3.5313
1.50007	4	5	0	4.41462
1.50007	4	4	0	-2.68956
1.50007	4	3	0	-21.5707
1.50007	4	2	0	-5.85017
1.50007	4	1	0	29.0869
1.50107	4	5	0	44.5192
1.50107	4	4	0	43.9252
1.50107	4	3	0	31.1358
1.50107	4	2	0	41.5741
1.50107	4	1	0	52.7944
1.50507	2	5	0	11.6226
1.50507	2	4	0	2.87422
1.50507	2	3	0	7.33185
1.50507	2	2	0	3.94814
1.50507	2	1	0	-3.56295
1.50507	4	5	0	4.41633
1.50507	4	4	0	-2.0787
1.50507	4	3	0	-21.7325
1.50507	4	2	0	-5.43065
1.50507	4	1	0	27.9915
1.50807	4	5	0	44.7514
1.50807	4	4	0	44.6616
1.50807	4	3	0	31.0858
1.50807	4	2	0	41.6567
1.50807	4	1	0	52.9898
1.51007	2	5	0	11.4755
1.51007	2	4	0	2.65803
1.51007	2	3	0	7.06407
1.51007	2	2	0	2.98926
1.51007	2	1	0	-3.87088
1.51007	4	5	0	4.56563
1.51007	4	4	0	-1.72741
1.51007	4	3	0	-21.6458
1.51007	4	2	0	-5.47599
1.51007	4	1	0	28.325
1.51507	2	5	0	11.4246
1.51507	2	4	0	2.49415
1.51507	2	3	0	6.51819
1.51507	2	2	0	2.58067
1.51507	2	1	0	-4.14766
1.51507	4	5	0	4.7658
1.51507	4	4	0	-2.09069
1.51507	4	3	0	-21.6938
1.51507	4	2	0	-5.75101
1.51507	4	1	0	29.118
1.51907	4	5	0	44.5769
1.51907	4	4	0	44.1099
1.51907	4	3	0	30.935
1.51907	4	2	0	41.4038
1.51907	4	1	0	52.9107
1.52007	2	5	0	10.8001
1.52007	2	4	0	2.91662
1.52007	2	3	0	6.52431
1.52007	2	2	0	2.69524
1.52007	2	1	0	-4.04658
1.52007	4	5	0	4.3363
1.52007	4	4	0	-2.32007
1.52007	4	3	0	-22.0562
1.52007	4	2	0	-5.99052
1.52007	4	1	0	28.5397
1.52507	2	5	0	10.7736
1.52507	2	4	0	3.02011
1.52507	2	3	0	9.90343
1.52507	2	2	0	2.89556
1.52507	2	1	0	-4.07926
1.52507	4	5	0	4.61954
1.52507	4	4	0	-2.99031
1.52507	4	3	0	-22.018
1.52507	4	2	0	-6.06544
1.52507	4	1	0	28.6463
1.53007	2	5	0	11.6385
1.53007	2	4	0	2.95468
1.53007	2	3	0	7.46096
1.53007	2	2	0	3.46729
1.53007	2	1	0	-3.89152
1.53007	4	5	0	4.09277
1.53007	4	4	0	-3.85026
1.53007	4	3	0	-22.1057
1.53007	4	2	0	-5.84226
1.53007	4	1	0	29.0488
1.53507	2	5	0	10.1835
1.53507	2	4	0	2.86911
1.53507	2	3	0	8.51823
1.53507	2	2	0	3.38446
1.53507	2	1	0	-3.87068
1.53507	4	5	0	4.34037
1.53507	4	4	0	-3.94904
1.53507	4	3	0	-22.0345
1.53507	4	2	0	-5.79659
1.53507	4	1	0	30.1938
1.53707	2	5	0	45.8891
1.53707	2	4	0	51.4547
1.53707	2	3	0	42.6285
1.53707	2	2	0	43.0198
1.53707	2	1	0	51.7444
1.54007	2	5	0	9.98679
1.54007	2	4	0	3.00476
1.54007	2	3	0	11.1318
1.54007	2	2	0	2.89587
1.54007	2	1	0	-3.93632
1.54007	4	5	0	3.87733
1.54007	4	4	0	-3.16307
1.54007	4	3	0	-22.1703
1.54007	4	2	0	-5.68645
1.54007	4	1	0	29.2829
1.54507	2	5	0	10.1746
1.54507	2	4	0	3.09837
1.54507	2	3	0	6.88201
1.54507	2	2	0	2.63513
1.54507	2	1	0	-4.06457
1.54507	4	5	0	3.88555
1.54507	4	4	0	-2.39905
1.54507	4	3	0	-22.1621
1.54507	4	2	0	-5.67236
1.54507	4	1	0	29.1617
1.55007	2	5	0	10.5795
1.55007	2	4	0	3.39887
1.55007	2	3	0	7.43001
1.55007	2	2	0	2.51315
1.55007	2	1	0	-4.16269
1.55007	4	5	0	3.83852
1.55007	4	4	0	-1.90988
1.55007	4	3	0	-22.2981
1.55007	4	2	0	-5.87298
1.55007	4	1	0	28.57
1.55207	2	5	0	46.287
1.55207	2	4	0	51.7809
1.55207	2	3	0	42.6074
1.55207	2	2	0	42.7292
1.55207	2	1	0	51.9334
1.55507	2	5	0	10.5315
1.55507	2	4	0	3.5456
1.55507	2	3	0	8.30561
1.55507	2	2	0	3.03032
1.55507	2	1	0	-4.21026
1.55507	4	5	0	3.59172
1.55507	4	4	0	-1.50334
1.55507	4	3	0	-22.4037
1.55507	4	2	0	-5.68843
1.55507	4	1	0	29.4157
1.56007	2	5	0	10.3419
1.56007	2	4	0	3.59547
1.56007	2	3	0	9.44038
1.56007	2	2	0	3.68372
1.56007	2	1	0	-4.23298
1.56007	4	5	0	3.72905
1.56007	4	4	0	-1.45562
1.56007	4	3	0	-22.4252
1.56007	4	2	0	-5.9058
1.56007	4	1	0	28.1475
1.56507	2	5	0	10.1968
1.56507	2	4	0	3.46104
1.56507	2	3	0	7.47211
1.56507	2	2	0	3.63288
1.56507	2	1	0	-4.4458
1.56507	4	5	0	3.48968
1.56507	4	4	0	-2.18652
1.56507	4	3	0	-22.5483
1.56507	4	2	0	-5.9087
1.56507	4	1	0	27.2005
1.56807	4	5	0	44.0813
1.56807	4	4	0	43.7156
1.56807	4	3	0	30.6264
1.56807	4	2	0	41.4485
1.56807	4	1	0	52.7509
1.57007	2	5	0	10.5076
1.57007	2	4	0	3.31716
1.57007	2	3	0	7.70589
1.57007	2	2	0	3.34195
1.57007	2	1	0	-4.48135
1.57007	4	5	0	4.03621
1.57007	4	4	0	-3.00061
1.57007	4	3	0	-22.8582
1.57007	4	2	0	-5.79109
1.57007	4	1	0	28.472
1.57107	2	5	0	10.4279
1.57107	2	4	0	3.193
1.57107	2	3	0	9.10604
1.57107	2	2	0	3.14246
1.57107	2	1	0	-4.40366
1.57107	4	5	0	3.89019
1.57107	4	4	0	-3.05227
1.57107	4	3	0	-22.76
1.57107	4	2	0	-5.89324
1.57107	4	1	0	28.8924
1.57507	2	5	0	10.4037
1.57507	2	4	0	2.8808
1.57507	2	3	0	9.40351
1.57507	2	2	0	2.70756
1.57507	2	1	0	-4.40118
1.57507	4	5	0	3.5852
1.57507	4	4	0	-3.74307
1.57507	4	3	0	-22.6171
1.57507	4	2	0	-5.8774
1.57507	4	1	0	29.5072
1.57907	2	5	0	46.1725
1.57907	2	4	0	51.4771
1.57907	2	3	0	42.692
1.57907	2	2	0	42.8174
1.57907	2	1	0	52.1056
1.58007	2	5	0	10.3394
1.58007	2	4	0	2.76171
1.58007	2	3	0	7.57494
1.58007	2	2	0	2.68708
1.58007	2	1	0	-3.8016
1.58007	4	5	0	3.88264
1.58007	4	4	0	-4.04549
1.58007	4	3	0	-22.6535
1.58007	4	2	0	-5.75833
1.58007	4	1	0	27.947
1.58107	4	5	0	43.9309
1.58107	4	4	0	42.7817
1.58107	4	3	0	30.6024
1.58107	4	2	0	41.3549
1.58107	4	1	0	52.7856
1.58507	2	5	0	10.6077
1.58507	2	4	0	2.46146
1.58507	2	3	0	8.35526
1.58507	2	2	0	2.80965
1.58507	2	1	0	-3.91275
1.58507	4	5	0	3.62579
1.58507	4	4	0	-3.72884
1.58507	4	3	0	-22.7059
1.58507	4	2	0	-5.82563
1.58507	4	1	0	28.8973
1.58807	4	5	0	44.1538
1.58807	4	4	0	43.7136
1.58807	4	3	0	30.5763
1.58807	4	2	0	41.4068
1.58807	4	1	0	52.6878
1.59007	2	5	0	10.5596
1.59007	2	4	0	2.31684
1.59007	2	3	0	7.46471
1.59007	2	2	0	2.97682
1.59007	2	1	0	-3.92
1.59007	4	5	0	3.79762
1.59007	4	4	0	-2.94204
1.59007	4	3	0	-22.7981
1.59007	4	2	0	-5.67358
1.59007	4	1	0	29.6737
1.59507	2	5	0	10.5163
1.59507	2	4	0	2.37315
1.59507	2	3	0	8.06724
1.59507	2	2	0	3.67929
1.59507	2	1	0	-4.23523
1.59507	4	5	0	4.20578
1.59507	4	4	0	-1.967
1.59507	4	3	0	-23.0998
1.59507	4	2	0	-5.82525
1.59507	4	1	0	28.8306
1.59907	4	5	0	44.163
1.59907	4	4	0	45.009
1.59907	4	3	0	30.5109
1.59907	4	2	0	41.3548
1.59907	4	1	0	52.7601
1.60007	2	5	0	10.6818
1.60007	2	4	0	2.46489
1.60007	2	3	0	12.1344
1.60007	2	2	0	3.63358
1.60007	2	1	0	-4.19314
1.60007	4	5	0	4.24414
1.60007	4	4	0	-1.56789
1.60007	4	3	0	-22.7993
1.60007	4	2	0	-6.03627
1.60007	4	1	0	28.161
1.60507	2	5	0	10.649
1.60507	2	4	0	2.68219
1.60507	2	3	0	9.75444
1.60507	2	2	0	3.51456
1.60507	2	1	0	-4.27107
1.60507	4	5	0	4.31482
1.60507	4	4	0	-2.03753
1.60507	4	3	0	-22.9577
1.60507	4	2	0	-6.39077
1.60507	4	1	0	27.1826
1.61007	2	5	0	10.8669
1.61007	2	4	0	2.81903
1.61007	2	3	0	9.56763
1.61007	2	2	0	3.41198
1.61007	2	1	0	-4.23973
1.61007	4	5	0	3.95573
1.61007	4	4	0	-2.50925
1.61007	4	3	0	-23.0319
1.61007	4	2	0	-6.39278
1.61007	4	1	0	27.0654
1.61507	2	5	0	11.8149
1.61507	2	4	0	2.56518
1.61507	2	3	0	8.61146
1.61507	2	2	0	3.28177
1.61507	2	1	0	-4.43576
1.61507	4	5	0	4.30439
1.61507	4	4	0	-3.44428
1.61507	4	3	0	-22.8665
1.61507	4	2	0	-6.16772
1.61507	4	1	0	28.1915
1.61707	2	5	0	46.5823
1.61707	2	4	0	51.342
1.61707	2	3	0	42.9914
1.61707	2	2	0	43.3979
1.61707	2	1	0	51.6135
1.62007	2	5	0	10.9604
1.62007	2	4	0	2.66123
1.62007	2	3	0	11.0451
1.62007	2	2	0	3.6766
1.62007	2	1	0	-4.60303
1.62007	4	5	0	4.02676
1.62007	4	4	0	-3.78002
1.62007	4	3	0	-23.1092
1.62007	4	2	0	-5.99361
1.62007	4	1	0	28.3096
1.62507	2	5	0	10.7345
1.62507	2	4	0	2.97575
1.62507	2	3	0	11.114
1.62507	2	2	0	4.10117
1.62507	2	1	0	-4.45399
1.62507	4	5	0	3.90269
1.62507	4	4	0	-3.97246
1.62507	4	3	0	-23.1395
1.62507	4	2	0	-6.26078
1.62507	4	1	0	28.9537
1.63007	2	5	0	11.058
1.63007	2	4	0	2.80753
1.63007	2	3	0	9.38334
1.63007	2	2	0	4.27559
